run.number,date_time.run,process.count,random.seed,human.count,zombie.count,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time
,25.04.2014 16:32:59,4,5,,,,,,,,,,,4,0
,25.04.2014 17:48:27,4,1398440908,10;,5;,-100,-100,99,99,2,2,2,0.01,1,0.49
,25.04.2014 17:48:53,4,1398440934,10;,5;,-100,-100,99,99,2,2,2,0.01,2,0.49
,25.04.2014 17:52:31,4,1398441152,10;,5;,-100,-100,99,99,2,2,2,0.01,1,0.56
,25.04.2014 17:53:14,4,1398441194,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.54
,25.04.2014 17:55:27,4,1398441327,5;,5;,-100,-100,99,99,2,2,2,0,1,0.49
,25.04.2014 18:01:41,4,1398441701,5;,5;,-100,-100,99,99,2,2,2,0.04,1,0.45
,25.04.2014 18:14:18,4,1398442459,5;,5;,-100,-100,99,99,2,2,2,0.04,1,0.42
,25.04.2014 18:15:57,4,1398442557,5;,5;,-100,-100,99,99,2,2,2,0.22,1,0.75
,25.04.2014 19:40:29,4,1398447630,5;,5;,-100,-100,99,99,2,2,2,0.06,1,0.48
,25.04.2014 20:45:05,4,1398451505,5;,5;,-100,-100,99,99,2,2,2,0.06,1,0.43
,25.04.2014 20:52:52,4,1398451974,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.72
,25.04.2014 20:55:17,4,1398452119,5;,5;,-100,-100,99,99,2,2,2,0.02,1,0.73
,26.04.2014 17:33:37,4,1398526419,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.69
,26.04.2014 18:27:35,4,1398529656,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.8
,26.04.2014 18:28:08,4,1398529690,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.79
,26.04.2014 18:29:18,4,1398529760,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.63
,26.04.2014 18:30:16,4,1398529817,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.71
,27.04.2014 19:20:53,4,1398619255,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.62
,27.04.2014 22:02:17,4,1398628939,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.63
,27.04.2014 22:07:05,4,1398629227,5;,5;,-100,-100,99,99,2,2,2,0,1,0.7
,27.04.2014 22:09:08,4,1398629349,5;,5;,-100,-100,99,99,2,2,2,0,1,0.62
,27.04.2014 22:11:50,4,1398629511,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.91
,27.04.2014 22:13:18,4,1398629600,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.61
,27.04.2014 22:14:53,4,1398629694,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.83
,27.04.2014 22:16:33,4,1398629794,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.73
,27.04.2014 22:17:14,4,1398629835,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.65
,27.04.2014 22:24:58,4,1398630299,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.66
,27.04.2014 22:32:38,4,1398630760,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.67
,27.04.2014 22:34:07,4,1398630848,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.75
,27.04.2014 22:39:54,4,1398631195,5;,5;,-100,-100,99,99,2,2,2,0.01,1,1.01
,27.04.2014 22:40:21,4,1398631222,5;,5;,-100,-100,99,99,2,2,2,0,1,0.8
,27.04.2014 22:41:49,4,1398631310,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.9
,28.04.2014 11:42:15,4,1398678136,5;,5;,-100,-100,99,99,2,2,2,0,1,0.54
,28.04.2014 11:43:01,4,1398678182,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.55
,28.04.2014 11:55:42,4,1398678943,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.66
,28.04.2014 11:57:00,4,1398679021,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.58
,28.04.2014 12:19:42,4,1398680382,5;,5;,-100,-100,99,99,2,2,2,0,1,0.48
,28.04.2014 12:56:17,4,1398682578,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.42
,28.04.2014 12:58:58,4,1398682738,5;,5;,-100,-100,99,99,2,2,2,0.01,1,0.4
