date_time.run,process.count,random.seed,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time,nombre.humains,nombre.survivants,nombre.morts,evacuation,dernier.tick.evacuation,simulation.diff_age,nombre.sorties
22.05.2014 17:40:07,4,1400773207,-20,-20,19,19,2,2,2,0.062732,600,16.2173,28,28,0,reussie,592,0,1
22.05.2014 17:41:20,4,1400773280,-20,-20,19,19,2,2,2,0.053785,600,15.6784,28,28,0,reussie,304,0,2
22.05.2014 17:42:24,4,1400773344,-20,-20,19,19,2,2,2,0.061204,600,14.1862,28,28,0,reussie,301,0,3
22.05.2014 17:43:16,4,1400773396,-20,-20,19,19,2,2,2,0.072679,600,14.8901,28,28,0,reussie,269,0,4
22.05.2014 17:44:16,4,1400773456,-20,-20,19,19,2,2,2,0.071623,600,15.4121,28,28,0,reussie,261,0,5
22.05.2014 17:45:19,4,1400773519,-20,-20,19,19,2,2,2,0.079527,600,15.9524,28,28,0,reussie,261,0,6
22.05.2014 17:46:10,4,1400773570,-20,-20,19,19,2,2,2,0.092706,600,14.7809,28,28,0,reussie,261,0,7
22.05.2014 17:48:53,4,1400773733,-20,-20,19,19,2,2,2,0.090935,600,15.7998,28,28,0,reussie,362,1,7
22.05.2014 17:49:46,4,1400773786,-20,-20,19,19,2,2,2,0.082247,600,14.6299,28,28,0,reussie,323,1,6
22.05.2014 17:50:43,4,1400773843,-20,-20,19,19,2,2,2,0.073179,600,14.3198,28,28,0,reussie,244,1,4
22.05.2014 17:53:09,4,1400773989,-20,-20,19,19,2,2,2,0.077424,600,14.9815,28,28,0,reussie,234,1,5
22.05.2014 20:56:33,4,1400784993,-20,-20,19,19,2,2,2,0.066007,600,15.5852,28,28,0,reussie,406,1,3
22.05.2014 20:57:38,4,1400785058,-20,-20,19,19,2,2,2,0.059946,600,15.084,28,28,0,reussie,315,1,2
22.05.2014 20:58:31,4,1400785111,-20,-20,19,19,2,2,2,0.060841,600,14.4791,28,26,2,echouee,evacuation echouee,1,1
